Order,Site,Site Abbrev,Sampling Event,Bin,SAMPLE #,Sample ID,Date,Time,FL (mm),Field Run ID,Fin Clip (Y/N),Comments,USFWS Biosample ID,
31,Battle,BTC,8,C,3,BTC22_8_C_3,4/20/2022,10:00,102,Spring,Y,,22-55250,
32,Battle,BTC,9,B,1,BTC22_9_B_1,5/2/2022,12:06,82,Fall,Y,,22-55284,
33,Battle,BTC,9,B,2,BTC22_9_B_2,5/2/2022,12:07,84,Fall,Y,,22-55285,
34,Battle,BTC,9,B,3,BTC22_9_B_3,5/3/2022,8:45,76,Fall,Y,,22-55289,
35,Battle,BTC,9,C,1,BTC22_9_C_1,5/2/2022,12:25,95,Spring,Y,,22-55287,
36,Battle,BTC,9,C,2,BTC22_9_C_2,5/2/2022,12:01,88,Fall,Y,,22-55282,
37,Battle,BTC,9,C,3,BTC22_9_C_3,5/2/2022,12:02,85,Fall,Y,,22-55283,
38,Battle,BTC,9,D,1,BTC22_9_D_1,5/2/2022,12:10,120,Spring,Y,,22-55286,
39,Battle,BTC,9,D,2,BTC22_9_D_2,5/2/2022,12:30,95,Spring,Y,,22-55288,
40,Battle,BTC,10,B,1,BTC22_10_B_1,5/20/2022,13:12,65,Fall,Y,,22-55333,
41,Battle,BTC,10,B,2,BTC22_10_B_2,5/23/2022,10:42,81,Fall,Y,,22-55336,
42,Battle,BTC,10,B,3,BTC22_10_B_3,5/25/2022,13:45,64,Fall,Y,,22-55337,
43,Battle,BTC,10,C,1,BTC22_10_C_1,5/16/2022,12:15,92,Fall,Y,,22-55310,
44,Battle,BTC,10,C,2,BTC22_10_C_2,5/16/2022,12:20,82,Fall,Y,,22-55311,
45,Battle,BTC,10,C,3,BTC22_10_C_3,5/16/2022,12:30,86,Fall,Y,,22-55312,
46,Battle,BTC,10,C,4,BTC22_10_C_4,5/17/2022,9:45,84,Fall,Y,,22-55313,
47,Battle,BTC,10,C,5,BTC22_10_C_5,5/17/2022,9:53,83,Fall,Y,,22-55314,
48,Battle,BTC,10,C,6,BTC22_10_C_6,5/17/2022,9:58,84,Fall,Y,,22-55315,
49,Battle,BTC,10,C,7,BTC22_10_C_7,5/17/2022,10:01,91,Fall,Y,,22-55316,
50,Battle,BTC,10,C,8,BTC22_10_C_8,5/17/2022,10:04,82,Fall,Y,,22-55317,
51,Butte,BUT22,1,A,1,BUT22_1_A_1,1/10/2022,9:30,37,Spring,Y,,,
52,Butte,BUT22,1,A,2,BUT22_1_A_2,1/10/2022,9:40,35,Spring,Y,,,
53,Butte,BUT22,1,A,3,BUT22_1_A_3,1/10/2022,9:50,36,Spring,N,,,
54,Butte,BUT22,1,A,4,BUT22_1_A_4,1/10/2022,10:00,36,Spring,Y,,,
55,Butte,BUT22,2,A,1,BUT22_2_A_1,1/24/2022,10:00,37,n/r,Y,,,
56,Butte,BUT22,2,A,2,BUT22_2_A_2,1/24/2022,10:00,35,n/r,Y,,,
57,Butte,BUT22,2,A,3,BUT22_2_A_3,1/24/2022,10:00,37,n/r,Y,,,
58,Butte,BUT22,2,A,4,BUT22_2_A_4,1/24/2022,10:00,36,n/r,Y,,,
59,Butte,BUT22,3,A,1,BUT22_3_A_1,2/7/2022,9:30,35,Spring,Y,,,
60,Butte,BUT22,3,A,2,BUT22_3_A_2,2/7/2022,9:40,33,Spring,Y,,,
61,Butte,BUT22,3,A,3,BUT22_3_A_3,2/7/2022,9:45,33,Spring,Y,,,
62,Butte,BUT22,3,A,4,BUT22_3_A_4,2/7/2022,9:55,34,Spring,Y,,,
63,Butte,BUT22,4,A,1,BUT22_4_A_1,2/21/2022,9:30,32,Spring,Y,,,
64,Butte,BUT22,4,A,2,BUT22_4_A_2,2/21/2022,9:37,33,Spring,Y,,,
65,Butte,BUT22,4,A,3,BUT22_4_A_3,2/21/2022,9:42,35,Spring,Y,,,
66,Butte,BUT22,4,A,4,BUT22_4_A_4,2/21/2022,9:50,34,Spring,Y,,,
67,Butte,BUT22,5,A,1,BUT22_5_A_1,3/7/2022,9:24,34,Spring,N,"Tried clipping, fish too agitated",,
68,Butte,BUT22,5,A,2,BUT22_5_A_2,3/7/2022,9:40,34,Spring,Y,,,
69,Butte,BUT22,5,A,3,BUT22_5_A_3,3/7/2022,9:49,39,Spring,Y,,,
70,Butte,BUT22,5,A,4,BUT22_5_A_4,3/7/2022,9:58,35,Spring,N,Didn't have 4th yellow envelope,,
71,Butte,BUT22,5,B,1,BUT22_5_B_1,3/7/2022,11:40,51,Spring,N,No fin clipped,,
72,Butte,BUT22,6,A,1,BUT22_6_A_1,3/21/2022,9:30,36,Spring,Y,,,
73,Butte,BUT22,6,A,2,BUT22_6_A_2,3/21/2022,9:30,32,Spring,Y,,,
74,Butte,BUT22,6,A,3,BUT22_6_A_3,3/21/2022,10:06,42,Spring,Y,,,
75,Butte,BUT22,6,A,4,BUT22_6_A_4,3/21/2022,10:08,48,Spring,Y,,,
76,Butte,BUT22,6,B,1,BUT22_6_B_1,3/21/2022,10:10,59,Spring,Y,,,
77,Butte,BUT22,6,B,2,BUT22_6_B_2,3/26/2022,9:15,61,Spring,Y,,,
78,Butte,BUT22,6,B,3,BUT22_6_B_3,3/26/2022,9:18,61,Spring,n/r,,,
79,Butte,BUT22,6,B,4,BUT22_6_B_4,3/28/2022,8:45,54,Spring,Y,,,
80,Butte,BUT22,6,C,1,BUT22_6_C_1,3/28/2022,8:45,75,Spring,Y,,,
81,Butte,BUT22,7,A,1,BUT22_7_A_1,4/4/2022,9:20,48,Spring,Y,,,
82,Butte,BUT22,7,A,2,BUT22_7_A_2,4/4/2022,9:25,49,Spring,Y,,,
83,Butte,BUT22,7,A,3,BUT22_7_A_3,4/4/2022,9:26,43,Spring,Y,,,
84,Butte,BUT22,7,A,4,BUT22_7_A_4,4/4/2022,9:27,41,Spring,Y,,,
85,Butte,BUT22,7,B,1,BUT22_7_B_1,4/4/2022,9:10,59,Spring,Y,,,
86,Butte,BUT22,7,B,2,BUT22_7_B_2,4/4/2022,9:11,68,Spring,Y,,,
87,Butte,BUT22,7,B,3,BUT22_7_B_3,4/4/2022,9:13,65,Spring,Y,,,
88,Butte,BUT22,7,B,4,BUT22_7_B_4,4/4/2022,9:15,67,Spring,Y,,,
89,Butte,BUT22,7,C,1,BUT22_7_C_1,4/4/2022,9:00,79,Spring,Y,,,
90,Butte,BUT22,7,C,2,BUT22_7_C_2,4/4/2022,9:40,71,Spring,Y,,,
91,Butte,BUT22,7,C,3,BUT22_7_C_3,4/4/2022,10:23,73,Spring,Y,,,
92,Butte,BUT22,7,C,4,BUT22_7_C_4,4/5/2022,10:09,73,Spring,Y,,,
93,Butte,BUT22,8,A,1,BUT22_8_A_1,4/18/2022,9:20,50,n/r,Y,,,
94,Butte,BUT22,8,A,2,BUT22_8_A_2,4/18/2022,9:24,49,n/r,Y,,,
95,Butte,BUT22,8,A,3,BUT22_8_A_3,4/18/2022,10:46,47,n/r,Y,,,
96,Butte,BUT22,8,A,4,BUT22_8_A_4,4/18/2022,10:47,43,n/r,Y,,,
97,Butte,BUT22,8,B,1,BUT22_8_B_1,4/18/2022,9:32,52,n/r,Y,,,
98,Butte,BUT22,8,B,2,BUT22_8_B_2,4/18/2022,9:36,60,n/r,Y,,,
99,Butte,BUT22,8,B,3,BUT22_8_B_3,4/18/2022,9:34,64,n/r,Y,,,
100,Butte,BUT22,8,B,4,BUT22_8_B_4,4/18/2022,9:40,66,n/r,Y,,,
101,Butte,BUT22,8,C,1,BUT22_8_C_1,4/18/2022,9:27,73,n/r,Y,,,
102,Butte,BUT22,8,C,2,BUT22_8_C_2,4/18/2022,9:30,71,n/r,Y,,,
103,Butte,BUT22,8,C,3,BUT22_8_C_3,4/18/2022,9:41,77,n/r,Y,,,
104,Butte,BUT22,8,C,4,BUT22_8_C_4,4/18/2022,9:43,80,n/r,Y,,,
105,Butte,BUT22,9,A,1,BUT22_9_A_1,5/2/2022,9:45,46,Spring,Y,,,
106,Butte,BUT22,9,A,2,BUT22_9_A_2,5/2/2022,9:50,48,Spring,Y,,,
107,Butte,BUT22,9,A,3,BUT22_9_A_3,5/2/2022,9:57,49,Spring,Y,,,
108,Butte,BUT22,9,A,4,BUT22_9_A_4,5/2/2022,9:58,42,Spring,Y,,,
109,Butte,BUT22,9,B,1,BUT22_9_B_1,5/2/2022,9:35,53,Spring,Y,,,
110,Butte,BUT22,9,B,2,BUT22_9_B_2,5/2/2022,9:43,53,Spring,Y,,,
111,Butte,BUT22,9,B,3,BUT22_9_B_3,5/2/2022,9:44,56,Spring,Y,,,
112,Butte,BUT22,9,B,4,BUT22_9_B_4,5/2/2022,9:45,69,Spring,Y,,,
113,Butte,BUT22,9,B,5,BUT22_9_B_5,5/3/2022,9:26,57,Spring,Y,,,
114,Butte,BUT22,9,B,6,BUT22_9_B_6,5/3/2022,9:31,61,Spring,Y,,,
115,Butte,BUT22,9,C,1,BUT22_9_C_1,5/2/2022,9:30,70,Spring,Y,,,
116,Butte,BUT22,9,C,2,BUT22_9_C_2,5/2/2022,9:35,89,Spring,Y,,,
117,Butte,BUT22,9,C,3,BUT22_9_C_3,5/2/2022,9:40,76,Spring,Y,,,
118,Butte,BUT22,9,C,4,BUT22_9_C_4,5/2/2022,9:50,84,Spring,Y,,,
119,Butte,BUT22,9,C,5,BUT22_9_C_5,5/3/2022,9:15,86,Spring,Y,,,
120,Butte,BUT22,9,C,6,BUT22_9_C_6,5/3/2022,9:20,80,Spring,Y,,,
121,Butte,BUT22,9,C,7,BUT22_9_C_7,5/3/2022,9:22,73,Spring,Y,,,
122,Butte,BUT22,9,C,8,BUT22_9_C_8,5/3/2022,9:24,72,Spring,Y,,,
123,Butte,BUT22,9,C,9,BUT22_9_C_9,5/3/2022,9:27,75,Spring,Y,,,
124,Butte,BUT22,9,C,10,BUT22_9_C_10,5/3/2022,9:29,74,Spring,Y,,,
125,Butte,BUT22,9,C,11,BUT22_9_C_11,5/3/2022,9:34,84,Spring,Y,,,
126,Butte,BUT22,9,D,1,BUT22_9_D_1,5/2/2022,10:12,91,Spring,Y,,,
127,Butte,BUT22,9,D,2,BUT22_9_D_2,5/4/2022,9:40,97,Spring,Y,,,
128,Butte,BUT22,9,D,3,BUT22_9_D_3,5/4/2022,9:42,98,Spring,Y,,,
129,Butte,BUT22,10,B,1,BUT22_10_B_1,5/16/2022,9:11,68,Spring,Y,,,
130,Butte,BUT22,10,B,2,BUT22_10_B_2,5/16/2022,9:15,56,Spring,Y,,,
131,Butte,BUT22,10,B,3,BUT22_10_B_3,5/16/2022,9:21,67,Spring,Y,,,
132,Butte,BUT22,10,B,4,BUT22_10_B_4,5/16/2022,9:24,64,Spring,Y,,,
133,Butte,BUT22,10,C,1,BUT22_10_C_1,5/16/2022,9:04,72,Spring,Y,,,
134,Butte,BUT22,10,C,2,BUT22_10_C_2,5/16/2022,9:07,74,Spring,Y,,,
135,Butte,BUT22,10,C,3,BUT22_10_C_3,5/16/2022,9:12,81,Spring,Y,,,
136,Butte,BUT22,10,C,4,BUT22_10_C_4,5/16/2022,9:20,78,Spring,Y,,,
137,Clear,CLR,1,A,1,CLR_1_A_1,1/15/2022,11:19,38,Fall,Y,,22-65125,
138,Clear,CLR,1,A,2,CLR_1_A_2,1/15/2022,11:30,34,Fall,Y,,22-65126,
139,Clear,CLR,1,A,3,CLR_1_A_3,1/15/2022,11:39,40,Fall,Y,,22-65127,
140,Clear,CLR22,2,A,1,CLR22_2_A_1,1/24/2022,3:12,38,Fall,Y,,22-65191,
141,Clear,CLR22,2,A,2,CLR22_2_A_2,1/24/2022,3:24,40,Fall,Y,,22-65192,
142,Clear,CLR22,2,A,3,CLR22_2_A_3,1/24/2022,3:29,37,Fall,Y,,22-65193,
143,Clear,CLR22,3,A,1,CLR22_3_A_1,2/7/2022,1:10,38,Fall,Y,,22-65287,
144,Clear,CLR22,3,A,2,CLR22_3_A_2,2/7/2022,1:13,41,Fall,Y,,22-65288,
145,Clear,CLR22,3,A,3,CLR22_3_A_3,2/7/2022,1:15,37,Fall,Y,,22-65289,
146,Clear,CLR22,4,A,1,CLR22_4_A_1,2/21/2022,9:58,46,Fall,Y,USFWS ID = 22-65383B for fin sample,22-65383,
147,Clear,CLR22,4,A,2,CLR22_4_A_2,2/21/2022,12:12,40,Fall,Y,,22-65384,
148,Clear,CLR22,4,A,3,CLR22_4_A_3,2/21/2022,12:18,42,Fall,Y,,22-65385,
149,Clear,CLR22,4,B,1,CLR22_4_B_1,2/21/2022,12:22,56,Fall,Y,,22-65386,
150,Clear,CLR22,4,B,2,CLR22_4_B_2,2/22/2022,13:32,54,Fall,Y,,22-65391,
151,Clear,CLR22,5,A,1,CLR22_5_A_1,3/8/2022,12:57,48,Fall,Y,,22-65477,
152,Clear,CLR22,5,A,2,CLR22_5_A_2,3/8/2022,13:05,40,Fall,Y,,22-65478,
153,Clear,CLR22,5,A,3,CLR22_5_A_3,3/8/2022,13:08,40,Fall,Y,,22-65479,
154,Clear,CLR22,6,A,1,CLR22_6_A_1,3/21/2022,9:45,44,Fall,Y,,22-65518,
155,Clear,CLR22,6,A,2,CLR22_6_A_2,3/21/2022,9:45,50,Fall,N,,22-65521,
156,Clear,CLR22,6,A,3,CLR22_6_A_3,3/21/2022,9:45,41,Fall,Y,,22-65520,
157,Clear,CLR22,6,B,1,CLR22_6_B_1,3/21/2022,9:45,54,Fall,Y,,22-65519,
158,Clear,CLR22,7,A,1,CLR22_7_A_1,4/4/2022,12:27,44,Spring,Y,,22-65608,
159,Clear,CLR22,7,A,2,CLR22_7_A_2,4/4/2022,12:35,39,Spring,Y,,22-65609,
160,Clear,CLR22,7,A,3,CLR22_7_A_3,4/4/2022,12:40,37,Spring,Y,,22-65610,
161,Clear,CLR22,7,B,1,CLR22_7_B_1,4/4/2022,12:13,68,Spring,Y,,22-65605,
162,Clear,CLR22,7,B,2,CLR22_7_B_2,4/4/2022,12:17,63,Spring,Y,,22-65606,
163,Clear,CLR22,7,B,3,CLR22_7_B_3,4/4/2022,12:22,54,Spring,Y,,22-65607,
164,Clear,CLR22,7,C,1,CLR22_7_C_1,4/12/2022,11:59,89,Spring,Y,,22-65608,
165,Clear,CLR22,8,A,1,CLR22_8_A_1,4/18/2022,11:33,37,Late Fall,Y,,22-65671,
166,Clear,CLR22,8,A,2,CLR22_8_A_2,4/18/2022,11:38,40,Fall,Y,,22-65672,
167,Clear,CLR22,8,A,3,CLR22_8_A_3,4/18/2022,11:42,37,Late Fall,Y,,22-65673,
168,Clear,CLR22,8,B,1,CLR22_8_B_1,4/18/2022,11:20,65,Fall,Y,,22-65668,
169,Clear,CLR22,8,B,2,CLR22_8_B_2,4/18/2022,11:24,55,Fall,Y,,22-65669,
170,Clear,CLR22,8,B,3,CLR22_8_B_3,4/18/2022,11:28,77,Fall,Y,,22-65670,
171,Clear,CLR22,8,C,1,CLR22_8_C_1,4/19/2022,10:59,82,Fall,Y,,22-65678,
172,Clear,CLR22,8,C,2,CLR22_8_C_2,4/20/2022,15:09,83,Spring,Y,,22-65687,
173,Clear,CLR22,8,C,3,CLR22_8_C_3,4/20/2022,15:16,82,Fall,Y,,22-65690,
174,Clear,CLR22,9,A,1,CLR22_9_A_1,5/2/2022,11:53,36,Late Fall,Y,,22-65718,
175,Clear,CLR22,9,A,2,CLR22_9_A_2,5/2/2022,11:57,37,Late Fall,Y,,22-65719,
176,Clear,CLR22,9,A,3,CLR22_9_A_3,5/2/2022,12:01,37,Late Fall,Y,,22-65720,
177,Clear,CLR22,9,A,4,CLR22_9_A_4,5/2/2022,12:05,36,Late Fall,Y,,22-65721,
178,Clear,CLR22,9,A,5,CLR22_9_A_5,5/2/2022,12:10,38,Late Fall,Y,,22-65722,
179,Clear,CLR22,9,B,1,CLR22_9_B_1,5/2/2022,12:15,63,Fall,Y,,22-65723,
180,Clear,CLR22,9,B,2,CLR22_9_B_2,5/2/2022,12:24,53,Fall,Y,,22-65724,
181,Clear,CLR22,9,B,3,CLR22_9_B_3,5/2/2022,12:26,69,Fall,Y,,22-65725,
182,Clear,CLR22,9,B,4,CLR22_9_B_4,5/2/2022,12:30,68,Fall,Y,,22-65726,
183,Clear,CLR22,9,B,5,CLR22_9_B_5,5/2/2022,12:32,75,Fall,Y,,22-65727,
184,Clear,CLR22,9,B,6,CLR22_9_B_6,5/5/2022,12:40,77,Fall,Y,,22-65742,
185,Clear,CLR22,9,C,1,CLR22_9_C_1,5/2/2022,12:35,86,Fall,Y,,22-65728,
186,Clear,CLR22,9,C,2,CLR22_9_C_2,5/4/2022,12:20,85,Fall,Y,,22-65737,
187,Clear,CLR22,9,C,3,CLR22_9_C_3,5/5/2022,12:38,89,Fall,Y,,22-65741,
188,Clear,CLR22,10,A,1,CLR22_10_A_1,5/16/2022,10:14,52,Fall,Y,,22-65768,
189,Clear,CLR22,10,A,2,CLR22_10_A_2,5/16/2022,10:24,51,Fall,Y,,22-65771,
190,Clear,CLR22,10,A,3,CLR22_10_A_3,5/18/2022,11:01,45,Fall,Y,,22-65783,
191,Clear,CLR22,10,B,1,CLR22_10_B_1,5/16/2022,10:19,57,Fall,Y,,22-65769,
192,Clear,CLR22,10,B,2,CLR22_10_B_2,5/16/2022,10:21,58,Fall,Y,,22-65770,
193,Clear,CLR22,10,B,3,CLR22_10_B_3,5/16/2022,10:29,58,Fall,Y,,22-65772,
194,Clear,CLR22,10,B,4,CLR22_10_B_4,5/17/2022,10:09,65,Fall,Y,,22-65776,
195,Clear,CLR22,10,B,5,CLR22_10_B_5,5/17/2022,10:11,54,Fall,Y,,22-65777,
196,Clear,CLR22,10,B,6,CLR22_10_B_6,5/17/2022,10:14,74,Fall,Y,,22-65778,
197,Clear,CLR22,10,B,7,CLR22_10_B_7,5/17/2022,10:17,69,Fall,Y,,22-65779,
198,Clear,CLR22,10,B,8,CLR22_10_B_8,5/17/2022,10:20,65,Fall,Y,,22-65780,
199,Clear,CLR22,10,C,1,CLR22_10_C_1,5/18/2022,10:57,88,Fall,Y,,22-65782,
200,Clear,CLR22,10,C,2,CLR22_10_C_2,5/18/2022,11:08,83,Fall,Y,,22-65784,
201,Clear,CLR22,10,C,3,CLR22_10_C_3,5/20/2022,11:52,85,Fall,Y,,22-65788,
202,Delta Entry,DEL,2,A,1,DEL_2_A_1,1/25/2022,11:05,38,Fall,N,,,
203,Delta Entry,DEL,2,A,2,DEL_2_A_2,1/25/2022,11:13,38,Fall,N,,,
204,Delta Entry,DEL,2,A,3,DEL_2_A_3,1/25/2022,11:17,39,Fall,N,,,
205,Delta Entry,DEL22,3,A,1,DEL22_3_A_1,2/7/2022,12:20,39,Fall,N,,,
206,Delta Entry,DEL22,3,A,2,DEL22_3_A_2,2/7/2022,12:26,38,Fall,N,,,
207,Delta Entry,DEL22,4,A,1,DEL22_4_A_1,2/22/2022,12:40,38,Fall,Y,,,
208,Delta Entry,DEL22,4,A,2,DEL22_4_A_2,2/22/2022,12:47,39,Fall,Y,,,
209,Delta Entry,DEL22,4,B,1,DEL22_4_B_1,2/22/2022,12:15,64,Spring,Y,,,
210,Delta Entry,DEL22,5,A,1,DEL22_5_A_1,3/8/2022,10:48,34,Fall,Y,,,
211,Delta Entry,DEL22,5,A,2,DEL22_5_A_2,3/8/2022,11:02,38,Fall,Y,,,
212,Delta Entry,DEL22,5,A,3,DEL22_5_A_3,3/8/2022,11:05,33,Fall,Y,,,
213,Delta Entry,DEL22,5,B,1,DEL22_5_B_1,3/7/2022,10:53,62,Spring,Y,,,
214,Delta Entry,DEL22,5,B,2,DEL22_5_B_2,3/7/2022,10:58,52,Fall,Y,,,
215,Delta Entry,DEL22,5,B,3,DEL22_5_B_3,3/7/2022,11:01,47,Fall,Y,,,
216,Delta Entry,DEL22,5,B,4,DEL22_5_B_4,3/8/2022,10:55,65,Spring,Y,,,
217,Delta Entry,DEL22,6,A,1,DEL22_6_A_1,3/21/2022,11:00,43,Fall,Y,,,
218,Delta Entry,DEL22,6,A,2,DEL22_6_A_2,3/21/2022,11:08,35,Fall,Y,,,
219,Delta Entry,DEL22,6,A,3,DEL22_6_A_3,3/21/2022,11:28,44,Fall,Y,,,
220,Delta Entry,DEL22,6,B,1,DEL22_6_B_1,3/21/2022,11:11,50,Fall,Y,,,
221,Delta Entry,DEL22,6,B,2,DEL22_6_B_2,3/21/2022,11:25,52,Fall,Y,,,
222,Delta Entry,DEL22,6,B,3,DEL22_6_B_3,3/21/2022,11:31,51,Fall,Y,,,
223,Delta Entry,DEL22,6,B,5,DEL22_6_B_5,3/21/2022,11:34,48,Fall,Y,,,
224,Delta Entry,DEL22,6,B,6,DEL22_6_B_6,3/22/2022,10:58,48,Fall,Y,,,
225,Delta Entry,DEL22,6,B,7,DEL22_6_B_7,3/22/2022,11:25,48,Fall,Y,,,
226,Delta Entry,DEL22,6,C,1,DEL22_6_C_1,3/21/2022,11:17,71,Spring,Y,,,
227,Delta Entry,DEL22,6,C,2,DEL22_6_C_2,3/21/2022,11:22,82,Fall,Y,,,
228,Delta Entry,DEL22,6,C,3,DEL22_6_C_3,3/22/2022,11:00,80,Fall,Y,,,
229,Delta Entry,DEL22,6,C,4,DEL22_6_C_4,3/22/2022,11:29,68,Fall,Y,,,
230,Delta Entry,DEL22,6,D,1,DEL22_6_D_1,3/22/2022,10:50,88,Spring,Y,,,
231,Delta Entry,DEL22,7,B,1,DEL22_7_B_1,4/5/2022,10:56,51,Fall,Y,Possible C. shasta,,
232,Delta Entry,DEL22,7,B,2,DEL22_7_B_2,4/5/2022,11:05,65,Fall,Y,,,
233,Delta Entry,DEL22,7,C,1,DEL22_7_C_1,4/4/2022,11:13,69,Fall,Y,,,
234,Delta Entry,DEL22,7,C,2,DEL22_7_C_2,4/4/2022,11:18,82,Spring,Y,,,
235,Delta Entry,DEL22,7,C,3,DEL22_7_C_3,4/5/2022,11:02,79,Spring,Y,Possible C. shasta,,
236,Delta Entry,DEL22,7,C,4,DEL22_7_C_4,4/5/2022,11:09,79,Spring,Y,,,
237,Delta Entry,DEL22,7,C,5,DEL22_7_C_5,4/5/2022,11:12,81,Spring,Y,,,
238,Delta Entry,DEL22,8,C,1,DEL22_8_C_1,4/18/2022,10:45,83,Spring,Y,,,
239,Delta Entry,DEL22,8,C,2,DEL22_8_C_2,4/18/2022,10:50,74,Spring,Y,,,
240,Delta Entry,DEL22,8,C,3,DEL22_8_C_3,4/19/2022,11:00,82,Fall,Y,,,
241,Delta Entry,DEL22,9,C,1,DEL22_9_C_1,5/2/2022,10:48,84,Fall,Y,,,
242,Delta Entry,DEL22,9,C,2,DEL22_9_C_2,5/2/2022,10:54,77,Fall,Y,,,
243,Delta Entry,DEL22,9,C,3,DEL22_9_C_3,5/2/2022,10:57,76,Fall,Y,,,
244,Delta Entry,DEL22,9,C,4,DEL22_9_C_4,5/3/2022,10:42,84,Fall,Y,,,
245,Delta Entry,DEL22,9,C,5,DEL22_9_C_5,5/3/2022,10:48,79,Fall,Y,,,
246,Delta Entry,DEL22,9,C,6,DEL22_9_C_6,5/3/2022,10:51,85,Fall,Y,,,
247,Delta Entry,DEL22,9,D,1,DEL22_9_D_1,5/3/2022,10:37,95,Spring,Y,,,
248,Delta Entry,DEL22,9,D,2,DEL22_9_D_2,5/3/2022,10:45,86,Fall,Y,,,
249,Delta Entry,DEL22,9,D,3,DEL22_9_D_3,5/3/2022,10:54,90,Fall,Y,,,
250,Delta Entry,DEL22,10,C,1,DEL22_10_C_1,5/16/2022,11:21,72,n/r,Y,,,
251,Feather-RM17,F1722,3,A,1,F1722_3_A_1,2/9/2022,11:15,37,Fall,Y,,,
252,Feather-RM17,F1722,3,A,2,F1722_3_A_2,2/9/2022,11:15,35,Fall,Y,,,
253,Feather-RM17,F1722,3,A,3,F1722_3_A_3,2/9/2022,11:15,37,Fall,Y,,,
254,Feather-RM17,F1722,3,A,4,F1722_3_A_4,2/9/2022,11:15,39,Fall,N,,,
255,Feather-RM17,F1722,3,A,5,F1722_3_A_5,2/9/2022,11:15,36,Fall,Y,,,
256,Feather-RM17,F1722,3,A,6,F1722_3_A_6,n/r,n/r,n/r,n/r,n/r,Vial lost,,
257,Feather-RM17,F1722,3,A,7,F1722_3_A_7,2/10/2022,10:50,42,Fall,Y,,,
258,Feather-RM17,F1722,3,A,8,F1722_3_A_8,2/10/2022,10:50,39,Fall,N,,,
