site,sampling_event,species,lifestage,sample_type,day ,date,sampling_crew,water_temp (C),DO (mg/L),Notes
Feather-RM61,3,Chinook Salmon,Juvenile,Swab+Fin Clip,2,2/9/2022,KLH; DH,10,n/r,Bin A = 30-50; Bin B = 50-70; Bin C = 70-90
Feather-RM61,4,Chinook Salmon,Juvenile,Swab+Fin Clip,1,2/22/2022,KLH; DH,10,n/r,
Feather-RM61,5,Chinook Salmon,Juvenile,Swab+Fin Clip,1,3/7/2022,KLH; AI,10,n/r,
Feather-RM61,5,Chinook Salmon,Juvenile,Swab+Fin Clip,2,3/8/2022,KLH; AI,9.5,n/r,
Feather-RM61,5,Chinook Salmon,Juvenile,Swab+Fin Clip,3,3/15/2022,n/r,11,n/r,
Feather-RM61,5,Chinook Salmon,Juvenile,Swab+Fin Clip,4,3/16/2022,n/r,12,n/r,
Feather-RM61,6,Chinook Salmon,Juvenile,Swab+Fin Clip,1,3/22/2022,MH; KLH,12.5,n/r,Bin A = 30-50; Bin B = 51-70; Bin C = 71-90; Bin D = 91-110
Feather-RM61,6,Chinook Salmon,Juvenile,Swab+Fin Clip,2,3/23/2022,MH; KLH,13,n/r,Bin A = 30-50; Bin B = 51-70; Bin C = 71-90; Bin D = 91-110
Feather-RM61,6,Chinook Salmon,Juvenile,Swab+Fin Clip,3,3/28/2022,MH; KLH,12.5,n/r,Bin A = 30-50; Bin B = 51-70; Bin C = 71-90; Bin D = 91-110
Feather-RM61,6,Chinook Salmon,Juvenile,Swab+Fin Clip,4,3/29/2022,MH,13,n/r,Bin A = 30-50; Bin B = 51-70; Bin C = 71-90; Bin D = 91-110
Feather-RM61,7,Chinook Salmon,Juvenile,Swab+Fin Clip,1,4/4/2022,MH; KLH,12.5,n/r,Please note: all samples were thawed over night on 4/18. Freezer door left slightly open. Still read -6° in morning but liquid was not frozen. Samples were cold and frozen asap
Feather-RM61,7,Chinook Salmon,Juvenile,Swab+Fin Clip,2,4/5/2022,AI; KLH,13,n/r,Please note: all samples were thawed over night on 4/18. Freezer door left slightly open. Still read -6° in morning but liquid was not frozen. Samples were cold and frozen asap
Feather-RM61,7,Chinook Salmon,Juvenile,Swab+Fin Clip,3,4/6/2022,KLH; AI,12.5,n/r,Please note: all samples were thawed over night on 4/18. Freezer door left slightly open. Still read -6° in morning but liquid was not frozen. Samples were cold and frozen asap
Feather-RM61,7,Chinook Salmon,Juvenile,Swab+Fin Clip,4,4/7/2022,MB; TB,13,n/r,Please note: all samples were thawed over night on 4/18. Freezer door left slightly open. Still read -6° in morning but liquid was not frozen. Samples were cold and frozen asap
Feather-RM61,7,Chinook Salmon,Juvenile,Swab+Fin Clip,5,4/8/2022,MB; MH; TV,13.5,n/r,Please note: all samples were thawed over night on 4/18. Freezer door left slightly open. Still read -6° in morning but liquid was not frozen. Samples were cold and frozen asap
Feather-RM61,7,Chinook Salmon,Juvenile,Swab+Fin Clip,6,4/13/2022,KLH; AI,12.5,n/r,Please note: all samples were thawed over night on 4/18. Freezer door left slightly open. Still read -6° in morning but liquid was not frozen. Samples were cold and frozen asap
Feather-RM61,8,Chinook Salmon,Juvenile,Swab+Fin Clip,1,4/19/2022,MH; MB,13,n/r,
Feather-RM61,8,Chinook Salmon,Juvenile,Swab+Fin Clip,2,4/20/2022,MH; MB; AI,13,n/r,
Feather-RM61,8,Chinook Salmon,Juvenile,Swab+Fin Clip,3,4/21/2022,MH; MB,12.8,n/r,
Feather-RM61,8,Chinook Salmon,Juvenile,Swab+Fin Clip,4,4/22/2022,MB; TV,13,n/r,
Feather-RM61,8,Chinook Salmon,Juvenile,Swab+Fin Clip,5,4/26/2022,AI; TV,13,n/r,
Feather-RM61,8,Chinook Salmon,Juvenile,Swab+Fin Clip,6,4/27/2022,AI; KLH,14,n/r,
Knights Landing,1,Chinook Salmon,Juvenile,Swab,1,1/10/2022,JP; RS; DW; MK,9.6,96.7,DO measured by percentage
Knights Landing,1,Chinook Salmon,Juvenile,Swab,2,1/11/2022,JP; AS; DC; JF,9.5,96.3,DO measured by percentage
Knights Landing,2,Chinook Salmon,Juvenile,Swab,1,1/24/2022,JP; CL; KGM,9.6,96.8,DO measured by percentage
Knights Landing,2,Chinook Salmon,Juvenile,Swab,2,1/25/2022,JP; KGM,9.7,97.9,DO measured by percentage
Knights Landing,7,Chinook Salmon,Juvenile,Swab+Fin Clip,1,4/4/2022,JF; DW,17.1,97.6,DO measured by percentage
Knights Landing,7,Chinook Salmon,Juvenile,Swab+Fin Clip,2,4/5/2022,LA; KGM,16.7,98.1,DO measured by percentage
Mill,3,Chinook Salmon,Juvenile,Swab,1,2/10/2022,ER; CS,9,n/r,
Mill,4,Chinook Salmon,Juvenile,Swab,1,2/24/2022,CS; MD; ER; AN,4,n/r,
Mill,5,Chinook Salmon,Juvenile,Swab,1,3/9/2022,CS; ER,8,n/r,
Mill,5,Chinook Salmon,Juvenile,Swab,2,3/10/2022,MD; ER,8,n/r,No class B or C fish
Mill,6,Chinook Salmon,Juvenile,Swab,1,3/22/2022,ER; MD; JC,11.5,n/r,
Mill,6,Chinook Salmon,Juvenile,Swab,2,3/23/2022,ER; MD,11.5,n/r,
Mill,9,Chinook Salmon,Juvenile,Swab,1,5/4/2022,CS; AJ,13,n/r,
Mill,9,Chinook Salmon,Juvenile,Swab,2,5/5/2022,CS; RS; RR,13,n/r,
Mill,10,Chinook Salmon,Juvenile,Swab,1,5/17/2022,CS; RR; RS,16,n/r,
Mill,10,Chinook Salmon,Juvenile,Swab,2,5/18/2022,CS; RR,16,n/r,
StarBend,2,Chinook Salmon,Juvenile,Fin Clip,1,1/25/2022,GH; CF,9.6,11.4,SB = FeatherRM17 (SJC)
StarBend,2,Chinook Salmon,Juvenile,Fin Clip,2,1/26/2022,GH; ChF,9.6,11.58,SB = FeatherRM17 (SJC)
Tisdale,1,Chinook Salmon,Juvenile,Swab,1,1/10/2022,AH; GH; HP; SC,9.4,n/r,
Tisdale,1,Chinook Salmon,Juvenile,Swab,2,1/11/2022,AH; BB; VP,9.1,n/r,One fin-clip collected (TIS_1_C_1) (SJC)
Tisdale,2,Chinook Salmon,Juvenile,Swab,1,1/24/2022,SC; CB; ChF,10.1,11.36,Temp measured in Fahrenheit; converted to celsius (SJC)
Tisdale,2,Chinook Salmon,Juvenile,Swab,2,1/25/2022,VP; DW; BB,9.5,97.8,Temp measured in Fahrenheit; converted to celsius (SJC); DO appears to have been measured by percentage
Tisdale,3,Chinook Salmon,Juvenile,Swab,1,2/8/2022,VP; DW,9.8,100.1,Temp measured in Fahrenheit; converted to celsius (SJC); DO measured by percentage
Tisdale,4,Chinook Salmon,Juvenile,Swab+Fin Clip,2,2/22/2022,DH; VP,11,10.8,
Tisdale,5,Chinook Salmon,Juvenile,Swab+Fin Clip,1,3/7/2022,HP; SO,11.7,10.74,
Tisdale,6,Chinook Salmon,Juvenile,Swab+Fin Clip,1,3/25/2022,SC; CB,n/r,n/r,
Tisdale,7,Chinook Salmon,Juvenile,Swab+Fin Clip,1,4/5/2022,DW; NF,16.6,n/r,
Tisdale,8,Chinook Salmon,Juvenile,Swab+Fin Clip,1,4/18/2022,SC; SO,18.1,n/r,
Tisdale,9,Chinook Salmon,Juvenile,Swab+Fin Clip,1,5/2/2022,SC; BB; KB,n/r,n/r,
Tisdale,10,Chinook Salmon,Juvenile,Swab+Fin Clip,1,5/16/2022,n/r,n/r,n/r,No fish sampled
Feather-RM61,9,Chinook Salmon,Juvenile,Swab+Fin Clip,1,5/3/2022,KH; AI,13.5,n/r,
Feather-RM61,9,Chinook Salmon,Juvenile,Swab+Fin Clip,2,5/4/2022,KH; AI,14.0,n/r,
Feather-RM61,9,Chinook Salmon,Juvenile,Swab+Fin Clip,3,5/5/2022,MB; TV,13.8,n/r,
Feather-RM61,9,Chinook Salmon,Juvenile,Swab+Fin Clip,4,5/6/2022,AI; TV; MH,13.0,n/r,
Feather-RM61,9,Chinook Salmon,Juvenile,Swab+Fin Clip,5,5/10/2022,AI; TV,12.5,n/r,
Feather-RM61,9,Chinook Salmon,Juvenile,Swab+Fin Clip,6,5/11/2022,AI; TV,14.0,n/r,
Feather-RM61,9,Chinook Salmon,Juvenile,Swab+Fin Clip,7,5/12/2022,AI; TV,13.0,n/r,
Feather-RM61,9,Chinook Salmon,Juvenile,Swab+Fin Clip,8,5/13/2022,AI; TV,14.0,n/r,
Feather-RM61,10,Chinook Salmon,Juvenile,Swab+Fin Clip,1,5/17/2022,KLH; MB,16.0,n/r,
Feather-RM61,10,Chinook Salmon,Juvenile,Swab+Fin Clip,2,5/18/2022,AI; TV,16.0,n/r,
Feather-RM61,10,Chinook Salmon,Juvenile,Swab+Fin Clip,3,5/19/2022,MB; TV,16.0,n/r,
Feather-RM61,10,Chinook Salmon,Juvenile,Swab+Fin Clip,4,5/20/2022,AI; TV,15.5,n/r,
Feather-RM61,10,Chinook Salmon,Juvenile,Swab+Fin Clip,5,5/25/2022,AI; TV; BS,16.5,n/r,
Feather-RM61,10,Chinook Salmon,Juvenile,Swab+Fin Clip,6,5/26/2022,MH; TV,16.5,n/r,
Feather-RM61,10,Chinook Salmon,Juvenile,Swab+Fin Clip,7,5/27/2022,AI; TV,16.0,n/r,
