location_code,sample_event_number,first_sample_date,sample_bin_code,min_fork_length,max_fork_length,expected_number_of_samples
BUT,6,2022-03-21,A,30,50,4
BUT,6,2022-03-21,A,30,50,4
BUT,6,2022-03-21,A,30,50,4
BUT,6,2022-03-21,A,30,50,4
BUT,6,2022-03-21,B,50,70,4
BUT,6,2022-03-21,B,50,70,4
BUT,6,2022-03-21,B,50,70,4
BUT,6,2022-03-21,B,50,70,4
BUT,6,2022-03-21,C,70,90,4
BUT,6,2022-03-21,C,70,90,4
BUT,6,2022-03-21,C,70,90,4
BUT,6,2022-03-21,C,70,90,4
BUT,7,2022-04-04,A,30,50,4
BUT,7,2022-04-04,A,30,50,4
BUT,7,2022-04-04,A,30,50,4
BUT,7,2022-04-04,A,30,50,4
BUT,7,2022-04-04,B,50,70,4
BUT,7,2022-04-04,B,50,70,4
BUT,7,2022-04-04,B,50,70,4
BUT,7,2022-04-04,B,50,70,4
BUT,7,2022-04-04,C,70,90,4
BUT,7,2022-04-04,C,70,90,4
BUT,7,2022-04-04,C,70,90,4
BUT,7,2022-04-04,C,70,90,4
BUT,8,2022-04-18,A,30,50,4
BUT,8,2022-04-18,A,30,50,4
BUT,8,2022-04-18,A,30,50,4
BUT,8,2022-04-18,A,30,50,4
BUT,8,2022-04-18,B,50,70,4
BUT,8,2022-04-18,B,50,70,4
BUT,8,2022-04-18,B,50,70,4
BUT,8,2022-04-18,B,50,70,4
BUT,8,2022-04-18,C,70,90,4
BUT,8,2022-04-18,C,70,90,4
BUT,8,2022-04-18,C,70,90,4
BUT,8,2022-04-18,C,70,90,4
BUT,8,2022-04-18,D,90,110,4
BUT,8,2022-04-18,D,90,110,4
BUT,8,2022-04-18,D,90,110,4
BUT,8,2022-04-18,D,90,110,4
BUT,9,2022-05-02,A,30,50,4
BUT,9,2022-05-02,A,30,50,4
BUT,9,2022-05-02,A,30,50,4
BUT,9,2022-05-02,A,30,50,4
BUT,9,2022-05-02,B,50,70,4
BUT,9,2022-05-02,B,50,70,4
BUT,9,2022-05-02,B,50,70,4
BUT,9,2022-05-02,B,50,70,4
BUT,9,2022-05-02,C,70,90,4
BUT,9,2022-05-02,C,70,90,4
BUT,9,2022-05-02,C,70,90,4
BUT,9,2022-05-02,C,70,90,4
BUT,9,2022-05-02,D,90,110,4
BUT,9,2022-05-02,D,90,110,4
BUT,9,2022-05-02,D,90,110,4
BUT,9,2022-05-02,D,90,110,4
BUT,10,2022-05-16,A,30,50,4
BUT,10,2022-05-16,A,30,50,4
BUT,10,2022-05-16,A,30,50,4
BUT,10,2022-05-16,A,30,50,4
BUT,10,2022-05-16,B,50,70,4
BUT,10,2022-05-16,B,50,70,4
BUT,10,2022-05-16,B,50,70,4
BUT,10,2022-05-16,B,50,70,4
BUT,10,2022-05-16,C,70,90,4
BUT,10,2022-05-16,C,70,90,4
BUT,10,2022-05-16,C,70,90,4
BUT,10,2022-05-16,C,70,90,4
BUT,10,2022-05-16,D,90,110,4
BUT,10,2022-05-16,D,90,110,4
BUT,10,2022-05-16,D,90,110,4
BUT,10,2022-05-16,D,90,110,4
CLR,3,2022-02-07,A,25,53,3
CLR,3,2022-02-07,A,25,53,3
CLR,3,2022-02-07,A,25,53,3
CLR,3,2022-02-07,B,53,81,3
CLR,3,2022-02-07,B,53,81,3
CLR,3,2022-02-07,B,53,81,3
CLR,3,2022-02-07,C,81,109,3
CLR,3,2022-02-07,C,81,109,3
CLR,3,2022-02-07,C,81,109,3
CLR,3,2022-02-07,D,109,137,3
CLR,3,2022-02-07,D,109,137,3
CLR,3,2022-02-07,D,109,137,3
CLR,4,2022-02-21,A,25,53,3
CLR,4,2022-02-21,A,25,53,3
CLR,4,2022-02-21,A,25,53,3
CLR,4,2022-02-21,B,53,81,3
CLR,4,2022-02-21,B,53,81,3
CLR,4,2022-02-21,B,53,81,3
CLR,4,2022-02-21,C,81,109,3
CLR,4,2022-02-21,C,81,109,3
CLR,4,2022-02-21,C,81,109,3
CLR,4,2022-02-21,D,109,137,3
CLR,4,2022-02-21,D,109,137,3
CLR,4,2022-02-21,D,109,137,3
CLR,5,2022-03-07,A,25,53,3
CLR,5,2022-03-07,A,25,53,3
CLR,5,2022-03-07,A,25,53,3
CLR,5,2022-03-07,B,53,81,3
CLR,5,2022-03-07,B,53,81,3
CLR,5,2022-03-07,B,53,81,3
CLR,5,2022-03-07,C,81,109,3
CLR,5,2022-03-07,C,81,109,3
CLR,5,2022-03-07,C,81,109,3
CLR,5,2022-03-07,D,109,137,3
CLR,5,2022-03-07,D,109,137,3
CLR,5,2022-03-07,D,109,137,3
CLR,5,2022-03-07,E,137,165,3
CLR,5,2022-03-07,E,137,165,3
CLR,5,2022-03-07,E,137,165,3
CLR,6,2022-03-21,A,25,53,3
CLR,6,2022-03-21,A,25,53,3
CLR,6,2022-03-21,A,25,53,3
CLR,6,2022-03-21,B,53,81,3
CLR,6,2022-03-21,B,53,81,3
CLR,6,2022-03-21,B,53,81,3
CLR,6,2022-03-21,C,81,109,3
CLR,6,2022-03-21,C,81,109,3
CLR,6,2022-03-21,C,81,109,3
CLR,6,2022-03-21,D,109,137,3
CLR,6,2022-03-21,D,109,137,3
CLR,6,2022-03-21,D,109,137,3
CLR,6,2022-03-21,E,137,165,3
CLR,6,2022-03-21,E,137,165,3
CLR,6,2022-03-21,E,137,165,3
CLR,7,2022-04-04,A,25,53,3
CLR,7,2022-04-04,A,25,53,3
CLR,7,2022-04-04,A,25,53,3
CLR,7,2022-04-04,B,53,81,3
CLR,7,2022-04-04,B,53,81,3
CLR,7,2022-04-04,B,53,81,3
CLR,7,2022-04-04,C,81,109,3
CLR,7,2022-04-04,C,81,109,3
CLR,7,2022-04-04,C,81,109,3
CLR,7,2022-04-04,D,109,137,3
CLR,7,2022-04-04,D,109,137,3
CLR,7,2022-04-04,D,109,137,3
CLR,7,2022-04-04,E,137,165,3
CLR,7,2022-04-04,E,137,165,3
CLR,7,2022-04-04,E,137,165,3
CLR,8,2022-04-18,A,25,53,3
CLR,8,2022-04-18,A,25,53,3
CLR,8,2022-04-18,A,25,53,3
CLR,8,2022-04-18,B,53,81,3
CLR,8,2022-04-18,B,53,81,3
CLR,8,2022-04-18,B,53,81,3
CLR,8,2022-04-18,C,81,109,3
CLR,8,2022-04-18,C,81,109,3
CLR,8,2022-04-18,C,81,109,3
CLR,8,2022-04-18,D,109,137,3
CLR,8,2022-04-18,D,109,137,3
CLR,8,2022-04-18,D,109,137,3
CLR,8,2022-04-18,E,137,165,3
CLR,8,2022-04-18,E,137,165,3
CLR,8,2022-04-18,E,137,165,3
CLR,9,2022-05-02,A,25,53,3
CLR,9,2022-05-02,A,25,53,3
CLR,9,2022-05-02,A,25,53,3
CLR,9,2022-05-02,B,53,81,3
CLR,9,2022-05-02,B,53,81,3
CLR,9,2022-05-02,B,53,81,3
CLR,9,2022-05-02,C,81,109,3
CLR,9,2022-05-02,C,81,109,3
CLR,9,2022-05-02,C,81,109,3
CLR,9,2022-05-02,D,109,137,3
CLR,9,2022-05-02,D,109,137,3
CLR,9,2022-05-02,D,109,137,3
CLR,9,2022-05-02,E,137,165,3
CLR,9,2022-05-02,E,137,165,3
CLR,9,2022-05-02,E,137,165,3
CLR,10,2022-05-16,A,25,53,3
CLR,10,2022-05-16,A,25,53,3
CLR,10,2022-05-16,A,25,53,3
CLR,10,2022-05-16,B,53,81,3
CLR,10,2022-05-16,B,53,81,3
CLR,10,2022-05-16,B,53,81,3
CLR,10,2022-05-16,C,81,109,3
CLR,10,2022-05-16,C,81,109,3
CLR,10,2022-05-16,C,81,109,3
CLR,10,2022-05-16,D,109,137,3
CLR,10,2022-05-16,D,109,137,3
CLR,10,2022-05-16,D,109,137,3
CLR,10,2022-05-16,E,137,165,3
CLR,10,2022-05-16,E,137,165,3
CLR,10,2022-05-16,E,137,165,3
DEL,3,2022-02-07,A,25,45,10
DEL,3,2022-02-07,A,25,45,10
DEL,3,2022-02-07,A,25,45,10
DEL,3,2022-02-07,A,25,45,10
DEL,3,2022-02-07,A,25,45,10
DEL,3,2022-02-07,A,25,45,10
DEL,3,2022-02-07,A,25,45,10
DEL,3,2022-02-07,A,25,45,10
DEL,3,2022-02-07,A,25,45,10
DEL,3,2022-02-07,A,25,45,10
DEL,3,2022-02-07,B,45,65,10
DEL,3,2022-02-07,B,45,65,10
DEL,3,2022-02-07,B,45,65,10
DEL,3,2022-02-07,B,45,65,10
DEL,3,2022-02-07,B,45,65,10
DEL,3,2022-02-07,B,45,65,10
DEL,3,2022-02-07,B,45,65,10
DEL,3,2022-02-07,B,45,65,10
DEL,3,2022-02-07,B,45,65,10
DEL,3,2022-02-07,B,45,65,10
DEL,3,2022-02-07,C,65,85,10
DEL,3,2022-02-07,C,65,85,10
DEL,3,2022-02-07,C,65,85,10
DEL,3,2022-02-07,C,65,85,10
DEL,3,2022-02-07,C,65,85,10
DEL,3,2022-02-07,C,65,85,10
DEL,3,2022-02-07,C,65,85,10
DEL,3,2022-02-07,C,65,85,10
DEL,3,2022-02-07,C,65,85,10
DEL,3,2022-02-07,C,65,85,10
DEL,3,2022-02-07,D,85,105,10
DEL,3,2022-02-07,D,85,105,10
DEL,3,2022-02-07,D,85,105,10
DEL,3,2022-02-07,D,85,105,10
DEL,3,2022-02-07,D,85,105,10
DEL,3,2022-02-07,D,85,105,10
DEL,3,2022-02-07,D,85,105,10
DEL,3,2022-02-07,D,85,105,10
DEL,3,2022-02-07,D,85,105,10
DEL,3,2022-02-07,D,85,105,10
DEL,3,2022-02-07,E,105,125,10
DEL,3,2022-02-07,E,105,125,10
DEL,3,2022-02-07,E,105,125,10
DEL,3,2022-02-07,E,105,125,10
DEL,3,2022-02-07,E,105,125,10
DEL,3,2022-02-07,E,105,125,10
DEL,3,2022-02-07,E,105,125,10
DEL,3,2022-02-07,E,105,125,10
DEL,3,2022-02-07,E,105,125,10
DEL,3,2022-02-07,E,105,125,10
DEL,4,2022-02-21,A,25,45,10
DEL,4,2022-02-21,A,25,45,10
DEL,4,2022-02-21,A,25,45,10
DEL,4,2022-02-21,A,25,45,10
DEL,4,2022-02-21,A,25,45,10
DEL,4,2022-02-21,A,25,45,10
DEL,4,2022-02-21,A,25,45,10
DEL,4,2022-02-21,A,25,45,10
DEL,4,2022-02-21,A,25,45,10
DEL,4,2022-02-21,A,25,45,10
DEL,4,2022-02-21,B,45,65,10
DEL,4,2022-02-21,B,45,65,10
DEL,4,2022-02-21,B,45,65,10
DEL,4,2022-02-21,B,45,65,10
DEL,4,2022-02-21,B,45,65,10
DEL,4,2022-02-21,B,45,65,10
DEL,4,2022-02-21,B,45,65,10
DEL,4,2022-02-21,B,45,65,10
DEL,4,2022-02-21,B,45,65,10
DEL,4,2022-02-21,B,45,65,10
DEL,4,2022-02-21,C,65,85,10
DEL,4,2022-02-21,C,65,85,10
DEL,4,2022-02-21,C,65,85,10
DEL,4,2022-02-21,C,65,85,10
DEL,4,2022-02-21,C,65,85,10
DEL,4,2022-02-21,C,65,85,10
DEL,4,2022-02-21,C,65,85,10
DEL,4,2022-02-21,C,65,85,10
DEL,4,2022-02-21,C,65,85,10
DEL,4,2022-02-21,C,65,85,10
DEL,4,2022-02-21,D,85,105,10
DEL,4,2022-02-21,D,85,105,10
DEL,4,2022-02-21,D,85,105,10
DEL,4,2022-02-21,D,85,105,10
DEL,4,2022-02-21,D,85,105,10
DEL,4,2022-02-21,D,85,105,10
DEL,4,2022-02-21,D,85,105,10
DEL,4,2022-02-21,D,85,105,10
DEL,4,2022-02-21,D,85,105,10
DEL,4,2022-02-21,D,85,105,10
DEL,5,2022-03-07,A,25,45,10
DEL,5,2022-03-07,A,25,45,10
DEL,5,2022-03-07,A,25,45,10
DEL,5,2022-03-07,A,25,45,10
DEL,5,2022-03-07,A,25,45,10
DEL,5,2022-03-07,A,25,45,10
DEL,5,2022-03-07,A,25,45,10
DEL,5,2022-03-07,A,25,45,10
DEL,5,2022-03-07,A,25,45,10
DEL,5,2022-03-07,A,25,45,10
DEL,5,2022-03-07,B,45,65,10
DEL,5,2022-03-07,B,45,65,10
DEL,5,2022-03-07,B,45,65,10
DEL,5,2022-03-07,B,45,65,10
DEL,5,2022-03-07,B,45,65,10
DEL,5,2022-03-07,B,45,65,10
DEL,5,2022-03-07,B,45,65,10
DEL,5,2022-03-07,B,45,65,10
DEL,5,2022-03-07,B,45,65,10
DEL,5,2022-03-07,B,45,65,10
DEL,5,2022-03-07,C,65,85,10
DEL,5,2022-03-07,C,65,85,10
DEL,5,2022-03-07,C,65,85,10
DEL,5,2022-03-07,C,65,85,10
DEL,5,2022-03-07,C,65,85,10
DEL,5,2022-03-07,C,65,85,10
DEL,5,2022-03-07,C,65,85,10
DEL,5,2022-03-07,C,65,85,10
DEL,5,2022-03-07,C,65,85,10
DEL,5,2022-03-07,C,65,85,10
DEL,5,2022-03-07,D,85,105,10
DEL,5,2022-03-07,D,85,105,10
DEL,5,2022-03-07,D,85,105,10
DEL,5,2022-03-07,D,85,105,10
DEL,5,2022-03-07,D,85,105,10
DEL,5,2022-03-07,D,85,105,10
DEL,5,2022-03-07,D,85,105,10
DEL,5,2022-03-07,D,85,105,10
DEL,5,2022-03-07,D,85,105,10
DEL,5,2022-03-07,D,85,105,10
DEL,6,2022-03-21,A,25,45,10
DEL,6,2022-03-21,A,25,45,10
DEL,6,2022-03-21,A,25,45,10
DEL,6,2022-03-21,A,25,45,10
DEL,6,2022-03-21,A,25,45,10
DEL,6,2022-03-21,A,25,45,10
DEL,6,2022-03-21,A,25,45,10
DEL,6,2022-03-21,A,25,45,10
DEL,6,2022-03-21,A,25,45,10
DEL,6,2022-03-21,A,25,45,10
DEL,6,2022-03-21,B,45,65,10
DEL,6,2022-03-21,B,45,65,10
DEL,6,2022-03-21,B,45,65,10
DEL,6,2022-03-21,B,45,65,10
DEL,6,2022-03-21,B,45,65,10
DEL,6,2022-03-21,B,45,65,10
DEL,6,2022-03-21,B,45,65,10
DEL,6,2022-03-21,B,45,65,10
DEL,6,2022-03-21,B,45,65,10
DEL,6,2022-03-21,B,45,65,10
DEL,6,2022-03-21,C,65,85,10
DEL,6,2022-03-21,C,65,85,10
DEL,6,2022-03-21,C,65,85,10
DEL,6,2022-03-21,C,65,85,10
DEL,6,2022-03-21,C,65,85,10
DEL,6,2022-03-21,C,65,85,10
DEL,6,2022-03-21,C,65,85,10
DEL,6,2022-03-21,C,65,85,10
DEL,6,2022-03-21,C,65,85,10
DEL,6,2022-03-21,C,65,85,10
DEL,6,2022-03-21,D,85,105,10
DEL,6,2022-03-21,D,85,105,10
DEL,6,2022-03-21,D,85,105,10
DEL,6,2022-03-21,D,85,105,10
DEL,6,2022-03-21,D,85,105,10
DEL,6,2022-03-21,D,85,105,10
DEL,6,2022-03-21,D,85,105,10
DEL,6,2022-03-21,D,85,105,10
DEL,6,2022-03-21,D,85,105,10
DEL,6,2022-03-21,D,85,105,10
DEL,7,2022-04-04,A,25,45,10
DEL,7,2022-04-04,A,25,45,10
DEL,7,2022-04-04,A,25,45,10
DEL,7,2022-04-04,A,25,45,10
DEL,7,2022-04-04,A,25,45,10
DEL,7,2022-04-04,A,25,45,10
DEL,7,2022-04-04,A,25,45,10
DEL,7,2022-04-04,A,25,45,10
DEL,7,2022-04-04,A,25,45,10
DEL,7,2022-04-04,A,25,45,10
DEL,7,2022-04-04,B,45,65,10
DEL,7,2022-04-04,B,45,65,10
DEL,7,2022-04-04,B,45,65,10
DEL,7,2022-04-04,B,45,65,10
DEL,7,2022-04-04,B,45,65,10
DEL,7,2022-04-04,B,45,65,10
DEL,7,2022-04-04,B,45,65,10
DEL,7,2022-04-04,B,45,65,10
DEL,7,2022-04-04,B,45,65,10
DEL,7,2022-04-04,B,45,65,10
DEL,7,2022-04-04,C,65,85,10
DEL,7,2022-04-04,C,65,85,10
DEL,7,2022-04-04,C,65,85,10
DEL,7,2022-04-04,C,65,85,10
DEL,7,2022-04-04,C,65,85,10
DEL,7,2022-04-04,C,65,85,10
DEL,7,2022-04-04,C,65,85,10
DEL,7,2022-04-04,C,65,85,10
DEL,7,2022-04-04,C,65,85,10
DEL,7,2022-04-04,C,65,85,10
DEL,7,2022-04-04,D,85,105,10
DEL,7,2022-04-04,D,85,105,10
DEL,7,2022-04-04,D,85,105,10
DEL,7,2022-04-04,D,85,105,10
DEL,7,2022-04-04,D,85,105,10
DEL,7,2022-04-04,D,85,105,10
DEL,7,2022-04-04,D,85,105,10
DEL,7,2022-04-04,D,85,105,10
DEL,7,2022-04-04,D,85,105,10
DEL,7,2022-04-04,D,85,105,10
DEL,8,2022-04-18,A,25,45,10
DEL,8,2022-04-18,A,25,45,10
DEL,8,2022-04-18,A,25,45,10
DEL,8,2022-04-18,A,25,45,10
DEL,8,2022-04-18,A,25,45,10
DEL,8,2022-04-18,A,25,45,10
DEL,8,2022-04-18,A,25,45,10
DEL,8,2022-04-18,A,25,45,10
DEL,8,2022-04-18,A,25,45,10
DEL,8,2022-04-18,A,25,45,10
DEL,8,2022-04-18,B,45,65,10
DEL,8,2022-04-18,B,45,65,10
DEL,8,2022-04-18,B,45,65,10
DEL,8,2022-04-18,B,45,65,10
DEL,8,2022-04-18,B,45,65,10
DEL,8,2022-04-18,B,45,65,10
DEL,8,2022-04-18,B,45,65,10
DEL,8,2022-04-18,B,45,65,10
DEL,8,2022-04-18,B,45,65,10
DEL,8,2022-04-18,B,45,65,10
DEL,8,2022-04-18,C,65,85,10
DEL,8,2022-04-18,C,65,85,10
DEL,8,2022-04-18,C,65,85,10
DEL,8,2022-04-18,C,65,85,10
DEL,8,2022-04-18,C,65,85,10
DEL,8,2022-04-18,C,65,85,10
DEL,8,2022-04-18,C,65,85,10
DEL,8,2022-04-18,C,65,85,10
DEL,8,2022-04-18,C,65,85,10
DEL,8,2022-04-18,C,65,85,10
DEL,8,2022-04-18,D,85,105,10
DEL,8,2022-04-18,D,85,105,10
DEL,8,2022-04-18,D,85,105,10
DEL,8,2022-04-18,D,85,105,10
DEL,8,2022-04-18,D,85,105,10
DEL,8,2022-04-18,D,85,105,10
DEL,8,2022-04-18,D,85,105,10
DEL,8,2022-04-18,D,85,105,10
DEL,8,2022-04-18,D,85,105,10
DEL,8,2022-04-18,D,85,105,10
DEL,9,2022-05-02,A,25,45,10
DEL,9,2022-05-02,A,25,45,10
DEL,9,2022-05-02,A,25,45,10
DEL,9,2022-05-02,A,25,45,10
DEL,9,2022-05-02,A,25,45,10
DEL,9,2022-05-02,A,25,45,10
DEL,9,2022-05-02,A,25,45,10
DEL,9,2022-05-02,A,25,45,10
DEL,9,2022-05-02,A,25,45,10
DEL,9,2022-05-02,A,25,45,10
DEL,9,2022-05-02,B,45,65,10
DEL,9,2022-05-02,B,45,65,10
DEL,9,2022-05-02,B,45,65,10
DEL,9,2022-05-02,B,45,65,10
DEL,9,2022-05-02,B,45,65,10
DEL,9,2022-05-02,B,45,65,10
DEL,9,2022-05-02,B,45,65,10
DEL,9,2022-05-02,B,45,65,10
DEL,9,2022-05-02,B,45,65,10
DEL,9,2022-05-02,B,45,65,10
DEL,9,2022-05-02,C,65,85,10
DEL,9,2022-05-02,C,65,85,10
DEL,9,2022-05-02,C,65,85,10
DEL,9,2022-05-02,C,65,85,10
DEL,9,2022-05-02,C,65,85,10
DEL,9,2022-05-02,C,65,85,10
DEL,9,2022-05-02,C,65,85,10
DEL,9,2022-05-02,C,65,85,10
DEL,9,2022-05-02,C,65,85,10
DEL,9,2022-05-02,C,65,85,10
DEL,9,2022-05-02,D,85,105,10
DEL,9,2022-05-02,D,85,105,10
DEL,9,2022-05-02,D,85,105,10
DEL,9,2022-05-02,D,85,105,10
DEL,9,2022-05-02,D,85,105,10
DEL,9,2022-05-02,D,85,105,10
DEL,9,2022-05-02,D,85,105,10
DEL,9,2022-05-02,D,85,105,10
DEL,9,2022-05-02,D,85,105,10
DEL,9,2022-05-02,D,85,105,10
DEL,10,2022-05-16,A,25,45,10
DEL,10,2022-05-16,A,25,45,10
DEL,10,2022-05-16,A,25,45,10
DEL,10,2022-05-16,A,25,45,10
DEL,10,2022-05-16,A,25,45,10
DEL,10,2022-05-16,A,25,45,10
DEL,10,2022-05-16,A,25,45,10
DEL,10,2022-05-16,A,25,45,10
DEL,10,2022-05-16,A,25,45,10
DEL,10,2022-05-16,A,25,45,10
DEL,10,2022-05-16,B,45,65,10
DEL,10,2022-05-16,B,45,65,10
DEL,10,2022-05-16,B,45,65,10
DEL,10,2022-05-16,B,45,65,10
DEL,10,2022-05-16,B,45,65,10
DEL,10,2022-05-16,B,45,65,10
DEL,10,2022-05-16,B,45,65,10
DEL,10,2022-05-16,B,45,65,10
DEL,10,2022-05-16,B,45,65,10
DEL,10,2022-05-16,B,45,65,10
DEL,10,2022-05-16,C,65,85,10
DEL,10,2022-05-16,C,65,85,10
DEL,10,2022-05-16,C,65,85,10
DEL,10,2022-05-16,C,65,85,10
DEL,10,2022-05-16,C,65,85,10
DEL,10,2022-05-16,C,65,85,10
DEL,10,2022-05-16,C,65,85,10
DEL,10,2022-05-16,C,65,85,10
DEL,10,2022-05-16,C,65,85,10
DEL,10,2022-05-16,C,65,85,10
DEL,10,2022-05-16,D,85,105,10
DEL,10,2022-05-16,D,85,105,10
DEL,10,2022-05-16,D,85,105,10
DEL,10,2022-05-16,D,85,105,10
DEL,10,2022-05-16,D,85,105,10
DEL,10,2022-05-16,D,85,105,10
DEL,10,2022-05-16,D,85,105,10
DEL,10,2022-05-16,D,85,105,10
DEL,10,2022-05-16,D,85,105,10
DEL,10,2022-05-16,D,85,105,10
DER,3,2022-02-07,A,25,45,8
DER,3,2022-02-07,A,25,45,8
DER,3,2022-02-07,A,25,45,8
DER,3,2022-02-07,A,25,45,8
DER,3,2022-02-07,A,25,45,8
DER,3,2022-02-07,A,25,45,8
DER,3,2022-02-07,A,25,45,8
DER,3,2022-02-07,A,25,45,8
DER,3,2022-02-07,B,45,65,8
DER,3,2022-02-07,B,45,65,8
DER,3,2022-02-07,B,45,65,8
DER,3,2022-02-07,B,45,65,8
